pair_id,sun_delta_deg,shift_x,shift_y,seed,gsd_mpp,cell_row,cell_col,state,n_inliers,n_raw,local_inlier_ratio,median_inlier_residual_px,area_dx,area_dy,area_ncc,area_agrees,true_error_px,true_error_m,global_contradicted,global_shift_dx,global_shift_dy,global_ncc,method_used,fallback_rmse_gt_px,pair_rmse_gt_px,pair_inlier_ratio
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,0,verified,10,10,1.0,0.11387507609499858,0.0,0.0,0.4497071126417863,True,0.48337075114250183,29.00224506855011,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,1,verified,19,19,1.0,0.09937055186036998,0.0,0.0,0.9973161130803355,True,0.4539105296134949,27.234631776809692,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,2,verified,23,23,1.0,0.18733036745429948,0.0,0.0,0.9969503285374899,True,0.4280189275741577,25.681135654449463,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,3,verified,19,19,1.0,0.13464731837370378,0.0,0.0,0.9932767522026494,True,0.40554672479629517,24.33280348777771,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,4,verified,17,17,1.0,0.15330044734827405,0.0,0.0,0.9841613263348925,True,0.38624539971351624,23.174723982810974,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,5,verified,23,23,1.0,0.13694588455530662,0.0,0.0,0.9808747731557573,True,0.36994120478630066,22.19647228717804,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,6,verified,21,21,1.0,0.1381113224504747,0.0,0.0,0.9867675083577746,True,0.3563919961452484,21.383519768714905,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,0,7,verified,12,12,1.0,0.15175010579729004,0.0,0.0,0.8788115561010129,True,0.34549060463905334,20.7294362783432,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,0,verified,13,13,1.0,0.10935500107939596,0.0,0.0,0.489443389098315,True,0.42311084270477295,25.386650562286377,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,1,verified,28,28,1.0,0.08396409840341804,0.0,0.0,0.9895635116876562,True,0.3998827338218689,23.992964029312134,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,2,verified,32,32,1.0,0.12934485984986166,0.0,0.0,0.9989183411456675,True,0.38010174036026,22.8061044216156,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,3,verified,30,30,1.0,0.14291168988257347,0.0,0.0,0.9981642262947237,True,0.36363285779953003,21.8179714679718,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,4,verified,29,29,1.0,0.17626502039201813,0.0,0.0,0.9980380996593404,True,0.35026854276657104,21.016112565994263,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,5,verified,33,33,1.0,0.17074556465738772,0.0,0.0,0.9866328757291657,True,0.33989349007606506,20.393609404563904,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,6,verified,35,35,1.0,0.16708616559780964,0.0,0.0,0.983606778251193,True,0.33236435055732727,19.941861033439636,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,1,7,verified,15,15,1.0,0.1510814862269437,0.0,0.0,0.8207328341659076,True,0.32766780257225037,19.660068154335022,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,0,weak,14,14,1.0,0.14686035627063299,-12.0,0.0,0.5329575044021353,False,0.3719591200351715,22.31754720211029,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,1,verified,24,24,1.0,0.12321243123734038,0.0,0.0,0.9946791668360032,True,0.3555293679237366,21.331762075424194,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,2,verified,35,36,0.9722222222222222,0.14194933446827582,0.0,0.0,0.9941153859754601,True,0.3424488306045532,20.546929836273193,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,3,verified,29,29,1.0,0.18919327209206635,0.0,0.0,0.9978042011480683,True,0.33259767293930054,19.955860376358032,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,4,verified,27,27,1.0,0.13892004144664424,0.0,0.0,0.9975711821786951,True,0.3258225619792938,19.54935371875763,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,5,verified,30,30,1.0,0.1788665014144078,0.0,0.0,0.9930180570641657,True,0.3220805823802948,19.324834942817688,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,6,verified,33,33,1.0,0.20407697324725893,0.0,0.0,0.9911306736792662,True,0.32131853699684143,19.279112219810486,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,2,7,verified,18,18,1.0,0.1926275174284406,0.0,0.0,0.9041969765999953,True,0.32360661029815674,19.416396617889404,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,0,weak,17,17,1.0,0.16379263373142783,-12.0,-4.0,0.7736898519732585,False,0.330166757106781,19.81000542640686,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,1,verified,25,25,1.0,0.13641661831533666,0.0,0.0,0.9964351108748304,True,0.3209025263786316,19.254151582717896,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,2,verified,31,31,1.0,0.1578682216047119,0.0,0.0,0.9976705398395826,True,0.314857542514801,18.89145255088806,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,3,verified,29,30,0.9666666666666667,0.18819082916318244,0.0,0.0,0.9979254023215044,True,0.31194257736206055,18.716554641723633,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,4,verified,29,29,1.0,0.1751557559602765,0.0,0.0,0.9952817658160455,True,0.31207039952278137,18.724223971366882,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,5,verified,29,29,1.0,0.16982098097015272,0.0,0.0,0.9942368483960152,True,0.31526750326156616,18.91605019569397,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,6,verified,32,32,1.0,0.16646849868397107,0.0,0.0,0.995131205996282,True,0.32155847549438477,19.293508529663086,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,3,7,verified,16,16,1.0,0.14435619656006454,0.0,0.0,0.9076470037328965,True,0.33108752965927124,19.865251779556274,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,0,verified,15,15,1.0,0.29803946835610573,0.0,0.0,0.42637174797487626,True,0.29837825894355774,17.902695536613464,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,1,verified,30,30,1.0,0.23216242054571062,0.0,0.0,0.9957513189154861,True,0.29641658067703247,17.78499484062195,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
synthetic_d000_x+12.37_y-8.63_s0,0.0,12.37,-8.63,0,60.0,4,2,verified,32,32,1.0,0.18207152252844122,0.0,0.0,0.9934084068189813,True,0.2974618077278137,17.847708463668823,False,0,0,0.6692707422433786,loftr+magsac++,,0.33406883478164673,0.9986559139784946
